0,Democrat,Democrats,Liberal,Liberals,Left-wing,Extremist,Extremists,Zealot,Zealots,Ideologue,Ideologues,Republican,Republicans,Conservative,Conservatives,Right-wing,Hack,Hacks,Elitist,Elitists,Shill,Shills,Snowflake,Snowflakes,
https|||abcnews.go.com|US|california-wildfires-president-trump-heads-state-tour-damage|story|id|59240106.html,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
https|||afsp.org|nations-largest-suicide-prevention-organization-thanks-president-donald-j-trump-for-signing-the-national-suicide-hotline-improvement-act-of-2018-h-r-2345|.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||ag.ny.gov|press-release|attorney-general-underwood-announces-lawsuit-against-donald-j-trump-foundation-and-its.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||china.usembassy-china.org.cn|inauguration-president-donald-j-trump|.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||dailycaller.com|2018|11|18|donald-trump-adam-schiff-nickname|.html,6,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
https|||deadline.com|2018|11|president-donald-trump-tweetstorm-the-sunday-edition-13-1202504422|.html,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||en.wikipedia.org|wiki|Donald_Trump.html,28,11,1,1,0,1,1,0,0,0,0,70,18,2,0,2,1,0,0,0,0,0,0,0,
https|||en.wikipedia.org|wiki|Melania_Trump.html,1,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,
https|||en.wikipedia.org|wiki|Presidency_of_Donald_Trump.html,24,14,1,0,0,0,0,0,0,0,0,52,18,2,1,0,0,0,0,0,0,0,0,0,
https|||mashable.com|category|donald-trump|.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||medium.com|s|story|the-faith-in-donald-j-trump-23878e5b8e66.html,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
https|||millercenter.org|president|trump.html,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
https|||pm.gc.ca|eng|news|2017|02|13|joint-statement-president-donald-j-trump-and-prime-minister-justin-trudeau.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||projects.fivethirtyeight.com|trump-approval-ratings|.html,1,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,
https|||qz.com|1162244|donald-j-trump-presidential-library-and-museum-what-will-it-look-like|.html,4,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,
