2018-11-18 21:29:03.959752, 'President Trump', 'twitter.com', 'https://twitter.com/search?q=President+Trump&ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Esearch'
2018-11-18 21:29:03.960159, 'President Trump', 'twitter.com', 'https://twitter.com/realDonaldTrump?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor'
2018-11-18 21:29:03.960515, 'President Trump', 'twitter.com', 'https://twitter.com/realDonaldTrump/status/1064246787161145346?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Etweet'
2018-11-18 21:29:03.960869, 'President Trump', 'twitter.com', 'https://twitter.com/realDonaldTrump?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor'
2018-11-18 21:29:03.961218, 'President Trump', 'twitter.com', 'https://twitter.com/realDonaldTrump/status/1064216956679716864?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Etweet'
2018-11-18 21:29:03.961565, 'President Trump', 'twitter.com', 'https://twitter.com/RepAdamSchiff?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor'
2018-11-18 21:29:03.961870, 'President Trump', 'twitter.com', 'https://twitter.com/RepAdamSchiff/status/1064225872608141319?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Etweet'
2018-11-18 21:29:03.962167, 'President Trump', 'twitter.com', 'https://twitter.com/realDonaldTrump?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor'
2018-11-18 21:29:03.962601, 'President Trump', 'twitter.com', 'https://twitter.com/realDonaldTrump/status/1064245710747590657?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Etweet'
2018-11-18 21:29:03.962928, 'President Trump', 'twitter.com', 'https://twitter.com/realDonaldTrump?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor'
2018-11-18 21:29:03.963359, 'President Trump', 'twitter.com', 'https://twitter.com/realDonaldTrump/status/1064227483187318784?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Etweet'
2018-11-18 21:29:03.963748, 'President Trump', 'twitter.com', 'https://twitter.com/realDonaldTrump?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor'
2018-11-18 21:29:03.964113, 'President Trump', 'twitter.com', 'https://twitter.com/realDonaldTrump/status/1064209246114459648?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Etweet'
2018-11-18 21:29:03.964838, 'President Trump', 'twitter.com', 'https://twitter.com/realDonaldTrump?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor'
2018-11-18 21:29:03.965466, 'President Trump', 'twitter.com', 'https://twitter.com/realDonaldTrump/status/1063987157650485249?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Etweet'
2018-11-18 21:29:03.965846, 'President Trump', 'www.twitter.com', 'http://www.twitter.com/realdonaldtrump'
2018-11-18 21:29:03.966230, 'President Trump', 'www.youtube.com', 'https://www.youtube.com/DonaldTrump'
2018-11-18 21:29:03.966592, 'President Trump', 'www.instagram.com', 'http://www.instagram.com/realdonaldtrump'
2018-11-18 21:29:03.966914, 'President Trump', 'www.facebook.com', 'https://www.facebook.com/POTUS/'
2018-11-18 21:29:03.980282, 'President Trump', 'www.whitehouse.gov', 'https://www.whitehouse.gov/people/donald-j-trump/'
2018-11-18 21:29:03.980738, 'President Trump', 'en.wikipedia.org', 'https://en.wikipedia.org/wiki/Donald_Trump'
2018-11-18 21:29:03.981186, 'President Trump', 'www.cnbc.com', 'https://www.cnbc.com/donald-trump/'
2018-11-18 21:29:03.981743, 'President Trump', 'thehill.com', 'https://thehill.com/people/donald-trump'
2018-11-18 21:29:03.982056, 'President Trump', 'www.donaldjtrump.com', 'https://www.donaldjtrump.com/'
2018-11-18 21:29:03.982348, 'President Trump', 'www.cnn.com', 'https://www.cnn.com/specials/politics/president-donald-trump-45'
2018-11-18 21:29:03.982640, 'President Trump', 'www.cnn.com', 'https://www.cnn.com/2013/07/04/us/donald-trump-fast-facts/index.html'
2018-11-18 21:29:03.982937, 'President Trump', 'time.com', 'http://time.com/donald-trump-after-hours/'
2018-11-18 21:29:03.983384, 'President Trump', 'www.theatlantic.com', 'https://www.theatlantic.com/magazine/archive/2016/06/the-mind-of-donald-trump/480771/'
2018-11-18 21:29:03.984024, 'President Trump', 'www.aljazeera.com', 'https://www.aljazeera.com/topics/people/donald-trump.html'
2018-11-18 21:29:03.984962, 'President Trump', 'www.forbes.com', 'https://www.forbes.com/profile/donald-trump/'
2018-11-18 21:29:03.985392, 'President Trump', 'www.politico.com', 'https://www.politico.com/news/donald-trump'
2018-11-18 21:29:03.985728, 'President Trump', 'time.com', 'http://time.com/money/5188095/donald-trump-net-worth-2018/'
2018-11-18 21:29:03.986059, 'President Trump', 'www.cnbc.com', 'https://www.cnbc.com/2016/08/12/top-10-richest-us-presidents.html'
2018-11-18 21:29:03.986375, 'President Trump', 'www.whitehouse.gov', 'https://www.whitehouse.gov/get-involved/write-or-call/'
2018-11-18 21:29:03.986734, 'President Trump', 'www.independent.co.uk', 'https://www.independent.co.uk/news/world/richestbillionairescombinedwealthjeffbezosbillgateswarrenbuffettmarkzuckerbergcarlosslimwealth-a8163621.html'
2018-11-18 21:29:03.987118, 'President Trump', 'www.nytimes.com', 'http://www.nytimes.com/topic/person/donald-trump'
2018-11-18 21:29:03.987459, 'President Trump', 'www.newyorker.com', 'https://www.newyorker.com/tag/donald-trump'
2018-11-18 21:29:03.987883, 'President Trump', 'www.chicagotribune.com', 'https://www.chicagotribune.com/topic/politics-government/donald-trump-PEBSL000163-topic.html'
2018-11-18 21:29:03.988203, 'President Trump', 'www.washingtontimes.com', 'https://www.washingtontimes.com/topics/donald-trump/'
2018-11-18 21:29:03.988518, 'President Trump', 'www.npr.org', 'https://www.npr.org/tags/511343536/president-trump'
2018-11-18 21:29:03.988823, 'President Trump', 'abcnews.go.com', 'https://abcnews.go.com/alerts/donald-trump'
2018-11-18 21:29:03.989149, 'President Trump', 'www.politifact.com', 'https://www.politifact.com/personalities/donald-trump/'
2018-11-18 21:29:03.989452, 'President Trump', 'www.vanityfair.com', 'https://www.vanityfair.com/people/donald-trump'
2018-11-18 21:29:03.989723, 'President Trump', 'www.c-span.org', 'https://www.c-span.org/person/?donaldtrump'
2018-11-18 21:29:03.990020, 'President Trump', 'www.washingtonexaminer.com', 'https://www.washingtonexaminer.com/tag/donald-trump'
2018-11-18 21:29:03.990388, 'President Trump', 'projects.fivethirtyeight.com', 'https://projects.fivethirtyeight.com/trump-approval-ratings/'
2018-11-18 21:29:03.990744, 'President Trump', 'www.tmz.com', 'http://www.tmz.com/person/donald-trump/'
2018-11-18 21:29:03.991068, 'President Trump', 'www.imdb.com', 'https://www.imdb.com/name/nm0874339/'
2018-11-18 21:29:03.991380, 'President Trump', 'www.telegraph.co.uk', 'https://www.telegraph.co.uk/women/politics/donald-trump-sexism-tracker-every-offensive-comment-in-one-place/'
2018-11-18 21:29:03.991692, 'President Trump', 'www.scmp.com', 'https://www.scmp.com/topics/donald-trump'
2018-11-18 21:29:03.991998, 'President Trump', 'www.bloomberg.com', 'https://www.bloomberg.com/billionaires/profiles/donald-j-trump/'
2018-11-18 21:29:03.992315, 'President Trump', 'time.com', 'http://time.com/donald-trump-after-hours/'
2018-11-18 21:29:03.992659, 'President Trump', 'people.com', 'https://people.com/tag/donald-trump/'
2018-11-18 21:29:03.992995, 'President Trump', 'mashable.com', 'https://mashable.com/category/donald-trump/'
2018-11-18 21:29:03.993377, 'President Trump', 'www.sun-sentinel.com', 'https://www.sun-sentinel.com/topic/politics-government/donald-trump-PEBSL000163-topic.html'
2018-11-18 21:29:03.993682, 'President Trump', 'www.latimes.com', 'http://www.latimes.com/topic/politics-government/donald-trump-PEBSL000163-topic.html'
2018-11-18 21:29:03.994032, 'President Trump', 'www.psychologytoday.com', 'https://www.psychologytoday.com/us/basics/president-donald-trump'
2018-11-18 21:29:03.994346, 'President Trump', 'www.nbcnews.com', 'https://www.nbcnews.com/politics/donald-trump'
2018-11-18 21:29:03.994654, 'President Trump', 'www.france24.com', 'https://www.france24.com/en/tag/donald-trump/'
2018-11-18 21:29:03.994957, 'President Trump', 'nypost.com', 'https://nypost.com/tag/donald-trump/'
