0,Democrat,Democrats,Liberal,Liberals,Left-wing,Extremist,Extremists,Zealot,Zealots,Ideologue,Ideologues,Republican,Republicans,Conservative,Conservatives,Right-wing,Hack,Hacks,Elitist,Elitists,Shill,Shills,Snowflake,Snowflakes,
https|||abc7news.com|trump-promises-change-after-touring-wildfire-devastation|4709157|.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||abcnews.go.com|alerts|donald-trump.html,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||ballotpedia.org|Donald_Trump.html,9,2,0,0,0,0,0,0,0,0,0,20,5,0,0,0,0,0,0,0,0,0,0,0,
https|||en.wikipedia.org|wiki|Donald_Trump.html,28,11,1,1,0,1,1,0,0,0,0,70,18,2,0,2,1,0,0,0,0,0,0,0,
https|||en.wikipedia.org|wiki|Inauguration_of_Donald_Trump.html,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,
https|||mashable.com|category|donald-trump|.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||nypost.com|tag|donald-trump|.html,3,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,
https|||ottawacitizen.com|news|local-news|nba-icon-kareem-abdul-jabbar-on-donald-trump-i-think-the-president-is-more-of-a-problem-than-a-solution.html,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||pagesix.com|tag|donald-trump|.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||people.com|tag|donald-trump|.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||projects.fivethirtyeight.com|trump-approval-ratings|.html,1,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,
https|||theconcourse.deadspin.com|this-is-all-donald-trump-has-left-1830329753.html,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,
https|||thehill.com|people|donald-trump.html,2,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,
https|||topics.nj.com|tag|donald-trump.html,9,3,0,0,0,0,0,0,0,0,0,6,1,2,0,0,0,0,0,0,0,0,0,0,
