0,Democrat,Democrats,Liberal,Liberals,Left-wing,Extremist,Extremists,Zealot,Zealots,Ideologue,Ideologues,Republican,Republicans,Conservative,Conservatives,Right-wing,Hack,Hacks,Elitist,Elitists,Shill,Shills,Snowflake,Snowflakes,
https|||abcnews.go.com|.html,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
https|||books.google.com|books|id|JsdGYlTm2nsC|pg|PA111|lpg|PA111|dq|Trump|source|bl|ots|reQottR3Wr|sig|OwDJJZvEk5_Jm7Gxu30XBND_HcM|hl|en|sa|X|ved|2ahUKEwjml7fzrt_eAhWCJXwKHeXXB78Q6AEwbXoECCEQAQ.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||books.google.com|books|id|aLw6DwAAQBAJ|pg|PA199|lpg|PA199|dq|Trump|source|bl|ots|5HBnM1JpOn|sig|MVAkl-0S26UtrHZCu4WFZLWe8H8|hl|en|sa|X|ved|2ahUKEwjml7fzrt_eAhWCJXwKHeXXB78Q6AEwbnoECCAQAQ.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||books.google.com|books|id|dlY2DwAAQBAJ|pg|PT39|lpg|PT39|dq|Trump|source|bl|ots|1VB-Idajw_|sig|mViNMd-AYg_qd7M9QKyKIt61o-Q|hl|en|sa|X|ved|2ahUKEwjml7fzrt_eAhWCJXwKHeXXB78Q6AEwcHoECB4QAQ.html,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,
https|||books.google.com|books|id|hR9xc9NheesC|pg|PA37|lpg|PA37|dq|Trump|source|bl|ots|IE1ep2QlXr|sig|EUsGPStFiaNq8YbDLT_Oxu6LPFU|hl|en|sa|X|ved|2ahUKEwjml7fzrt_eAhWCJXwKHeXXB78Q6AEwc3oECBsQAQ.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||books.google.com|books|id|je1TAAAAYAAJ|pg|PA320|lpg|PA320|dq|Trump|source|bl|ots|R5rkWwrD3p|sig|e6kqfSexGk8M0TqhoTEY8CWdZqU|hl|en|sa|X|ved|2ahUKEwjml7fzrt_eAhWCJXwKHeXXB78Q6AEwdXoECBkQAQ.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||books.google.com|books|id|nNw_AAAAYAAJ|pg|PA33|lpg|PA33|dq|Trump|source|bl|ots|dmSKamTggL|sig|0ovmYzGH8IZfXmuRt0e7hVdXEbM|hl|en|sa|X|ved|2ahUKEwjml7fzrt_eAhWCJXwKHeXXB78Q6AEwdnoECBgQAQ.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||books.google.com|books|id|uTA7DwAAQBAJ|pg|PT245|lpg|PT245|dq|Trump|source|bl|ots|8fcwYNnj33|sig|R7aimqRq7ZCuO4MU28huLw7BkqA|hl|en|sa|X|ved|2ahUKEwjml7fzrt_eAhWCJXwKHeXXB78Q6AEwcXoECB0QAQ.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||dailycaller.com|2018|11|14|transcript-trump-daily-caller-interview|.html,3,1,0,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,
https|||en.wikipedia.org|wiki|Donald_Trump.html,28,11,1,1,0,1,1,0,0,0,0,70,18,2,0,2,1,0,0,0,0,0,0,0,
https|||features.propublica.org|trump-inc-podcast|trump-family-business-panama-city-khafif|.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||foreignpolicy.com|2018|11|14|trumps-problem-in-europe-isnt-optics|.html,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
https|||mashable.com|category|donald-trump|.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||newrepublic.com|minutes.html,6,2,0,0,0,0,0,0,0,0,0,7,4,1,0,0,0,0,0,0,0,0,0,0,
https|||news.gallup.com|poll|203207|trump-job-approval-weekly.aspx.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||projects.fivethirtyeight.com|trump-approval-ratings|.html,1,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,
https|||theconcourse.deadspin.com|this-is-all-donald-trump-has-left-1830329753.html,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,
https|||thehill.com|homenews|senate|417225-republicans-primed-to-push-through-dozens-of-trumps-court-picks.html,13,8,0,0,0,0,0,0,0,0,0,18,15,0,0,0,0,0,0,0,0,0,0,0,
https|||trumpnews.us|.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||twitter.com|RepAdamSchiff|ref_src|twsrc|5Egoogle|7Ctwcamp|5Eserp|7Ctwgr|5Eauthor.html,1,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,
https|||twitter.com|RepAdamSchiff|status|1064225872608141319|ref_src|twsrc|5Egoogle|7Ctwcamp|5Eserp|7Ctwgr|5Etweet.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||twitter.com|realDonaldTrump|ref_src|twsrc|5Egoogle|7Ctwcamp|5Eserp|7Ctwgr|5Eauthor.html,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||twitter.com|realDonaldTrump|status|1063987157650485249|ref_src|twsrc|5Egoogle|7Ctwcamp|5Eserp|7Ctwgr|5Etweet.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||twitter.com|realDonaldTrump|status|1064209246114459648|ref_src|twsrc|5Egoogle|7Ctwcamp|5Eserp|7Ctwgr|5Etweet.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||twitter.com|realDonaldTrump|status|1064216956679716864|ref_src|twsrc|5Egoogle|7Ctwcamp|5Eserp|7Ctwgr|5Etweet.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||twitter.com|realDonaldTrump|status|1064227483187318784|ref_src|twsrc|5Egoogle|7Ctwcamp|5Eserp|7Ctwgr|5Etweet.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||twitter.com|realDonaldTrump|status|1064245710747590657|ref_src|twsrc|5Egoogle|7Ctwcamp|5Eserp|7Ctwgr|5Etweet.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
