0,Democrat,Democrats,Liberal,Liberals,Left-wing,Extremist,Extremists,Zealot,Zealots,Ideologue,Ideologues,Republican,Republicans,Conservative,Conservatives,Right-wing,Hack,Hacks,Elitist,Elitists,Shill,Shills,Snowflake,Snowflakes,
https|||abcnews.go.com|Politics|photos|queen-elizabeth-us-presidents-16461860.html,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
https|||ahvalnews.com|khashoggi-case|no-reason-hear-khashoggi-murder-recording-us-president.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||en.wikipedia.org|wiki|List_of_Presidents_of_the_United_States.html,32,1,0,0,0,0,0,0,0,0,0,33,1,0,0,0,0,0,0,0,0,0,0,0,
https|||en.wikipedia.org|wiki|List_of_Presidents_of_the_United_States_by_net_worth.html,20,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,
https|||en.wikipedia.org|wiki|President_of_the_United_States.html,12,1,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,
https|||en.wikipedia.org|wiki|Seal_of_the_President_of_the_United_States.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||finance.yahoo.com|news|u-vice-president-vows-no-025015439.html.html,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,
https|||fox43.com|2018|11|18|vice-president-mike-pence-say-u-s-will-not-stand-for-the-murder-of-washington-post-journalist|.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||historicsites.vermont.gov|vt_history|presidents.html,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
https|||history.house.gov|People|Other-Office|Member-President|.html,9,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,
https|||history.howstuffworks.com|history-vs-myth|jefferson-bible.htm.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||hottestheadsofstate.com|us-presidents|.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||kr.usembassy.gov|education-culture|kids|us-presidents|1st-president-10th-president|.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||millercenter.org|president.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||qz.com|914048|presidents-day-when-was-the-last-time-a-us-president-had-facial-hair-not-in-100-years|.html,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
https|||sputniknews.com|us|201811171069896612-lewinsky-clinton-affair|.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||thehill.com|hilltv|rising|403438-hayden-trump-deserves-the-respect-that-is-due-to-any-us-president.html,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
https|||thehill.com|opinion|campaign|417240-some-of-us-midwesterners-think-maybe-amy-klobuchar-would-do-okay-as.html,9,5,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,
https|||twitter.com|barackobama|lang|en.html,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.abc.net.au|news|2018-11-19|women-voted-for-democrats-in-record-numbers-in-2018|10503668.html,21,14,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,
